Book_Name|Author|Release_Date|Rating|Number_of_Review
The Ingenious Mr. Pyke: Inventor, Fugitive, Spy|Henry Hemming|May 5, 2015|4|4
Big Bad World of Concept Art for Video Games: An Insider's Guide for Students|Eliott J. Lill|May 31, 2015|5|6
Hissing Cousins: The Untold Story of Eleanor Roosevelt and Alice Roosevelt Longworth|Marc Peyser and Timothy Dwyer|Mar 31, 2015|4.5|62
Day Four: A Novel|Sarah Lotz|Jun 16, 2015|4|6
How to Get Dressed: A Costume Designer's Secrets for Making Your Clothes Look, Fit, and Feel Amazing|Alison Freer|Apr 14, 2015|4.7|85
Irish Chain Quilts: Contemporary Twists on a Classic Design|Melissa Corr|May 5, 2015|4.9|14
Mob Cop: My Life of Crime in the Chicago Police Department|Fred Pascente and Sam Reaves|Jun 1, 2015|2.8|5
Dangerous Deception (Dangerous Creatures)|Kami Garcia and Margaret Stohl|May 19, 2015|4.5|17
Diary of a Madman: The Geto Boys, Life, Death, and the Roots of Southern Rap|Brad "Scarface" Jordan and Benjamin Meadows Ingram|Apr 21, 2015|4.9|47
The Impossible Knife of Memory|Laurie Halse Anderson|Jun 2, 2015|4.3|155
Swansong 1945: A Collective Diary of the Last Days of the Third Reich|Walter Kempowski and Shaun Whiteside|Apr 13, 2015|4.6|18
Mom's Family Wall Calendar 2016|Sandra Boynton|Jun 15, 2015|4.8|4
The School for Good and Evil #2: A World without Princes|Soman Chainani and Iacopo Bruno|Apr 14, 2015|4.5|171
Be Safe, Love Mom: A Military Mom's Stories of Courage, Comfort, and Surviving Life on the Home Front|Elaine Lowry Brye and Nan Gatewood Satter|Mar 31, 2015|4.8|51
Gardens at First Light|Stacy Bass and Judy Ostrow|May 1, 2015|5|6
Sword Art Online 4: Fairy Dance|Reki Kawahara|Apr 21, 2015|4.8|10
Call Sign Extortion 17: The Shoot-Down of SEAL Team Six|Don Brown|May 29, 2015|3.5|11
Ravensbruck: Life and Death in Hitler's Concentration Camp for Women|Sarah Helm|Mar 31, 2015|4.6|91
The Dream Lover: A Novel|Elizabeth Berg|Apr 14, 2015|3.4|147
Women's Health Lift to Get Lean: A Beginner's Guide to Fitness & Strength Training in 3 Simple Steps|Holly Perkins|Apr 14, 2015|3.9|7
Dinner with Buddha|Roland Merullo|Jun 2, 2015|4.4|13
Hakomi Mindfulness-Centered Somatic Psychotherapy: A Comprehensive Guide to Theory and Practice|Halko Weiss and Greg Johanson|May 25, 2015|5|47
Those Secrets We Keep|Emily Liebert|Jun 2, 2015|3.8|25
Who Was Mother Teresa?|Jim Gigliotti and Nancy Harrison|May 5, 2015|5|3
The Liar's Key (The Red Queen's War)|Mark Lawrence|Jun 2, 2015|4.8|39
They Told Me Not to Take that Job: Tumult, Betrayal, Heroics, and the Transformation of Lincoln Center|Reynold Lev|May 12, 2015|4.9|11
So That Happened: A Memoir|Jon Cryer|Apr 7, 2015|4|164
Hard Choices|Hillary Rodham Clinton|Apr 28, 2015|2.8|2,236
Cognitive Cooking with Chef Watson: Recipes for Innovation from IBM & the Institute of Culinary Education|IBM and Institute of Culinary Education|Apr 14, 2015|4.5|14
The Mockingbird Next Door: Life with Harper Lee|Marja Mills|May 5, 2015|3.7|649
The Berenstain Bears God Bless Our Country (Berenstain Bears/Living Lights)|Mike Berenstain|Apr 14, 2015|4.7|36
In a Dark Wood: What Dante Taught Me About Grief, Healing, and the Mysteries of Love|Joseph Luzzi|Jun 2, 2015|4.5|6
Find Momo Coast to Coast: A Photography Book|Andrew Knapp|May 12, 2015|5|66
Hardpressed: The Hacker Series #2|Meredith Wild|May 12, 2015|4.6|1,344
The Dead Lands: A Novel|Benjamin Perc|Apr 14, 2015|3.6|74
The Good Girls (Perfectionists)|Sara Shepard|Jun 2, 2015|4.9|11
The Perfection of the Paper Clip: Curious Tales of Invention, Accidental Genius, and Stationery Obsession|James Ward|Apr 21, 2015|4.4|5
Hamptons Entertaining: Creating Occasions to Remember|Annie Falk and Eric Ripert|May 19, 2015|5|9
Kinfolk Volume 16|Various|Jun 2, 2015||Gastronomy Essays
Day of the Dead: Book One - Gaza|(Res), Captain Dan Gordon IDF|May 28, 2015|4.4|8
How to Style Your Brand: Everything You Need to Know to Create a Distinctive Brand Identity|Fiona Humberstone|May 11, 2015|5|8
Privy to the Dead (A Museum Mystery)|Sheila Connoll|Jun 2, 2015|4.2|19
Teach Your Kids to Code: A Parent-Friendly Guide to Python Programming|Bryson Payne|May 1, 2015|4.7|21
Pittsburgh Dad: Everything Your Dad Has Said to You|Chris Preksta and Curt Wootton|Apr 28, 2015|4.5|6
And Sometimes I Wonder About You: A Leonid McGill Mystery (Leonid McGill Mysteries)|Walter Mosle|May 12, 2015|4.6|85
Simplify: Ten Practices to Unclutter Your Soul|Bill Hybels|Apr 16, 2015|4.6|128
FWD March: Living in a World of Music and Motion|George Scott Chandler|Jun 11, 2015|5|1
Interstellar Cinderella|Deborah Underwood and Meg Hunt|May 5, 2015|4.9|10
100 Things Orioles Fans Should Know & Do Before They Die (100 Things...Fans Should Know)|Dan Connolly and Jim Palmer|Apr 1, 2015|4.9|8
Rocket Fuel: The One Essential Combination That Will Get You More of What You Want from Your Business|Gino Wickman and Mark C. Winters|Apr 28, 2015|4.9|8
Against the Flow: The Inspiration of Daniel in an Age of Relativism|John Lennox|Mar 27, 2015|4.6|42
Defying ISIS: Preserving Christianity in the Place of Its Birth and in Your Own Backyard|Johnnie Moore|Apr 21, 2015|4.6|39
The Next Great Move of God: An Appeal to Heaven for Spiritual Awakening|Jennifer LeClaire|Apr 7, 2015|4.8|32
Man in Profile: Joseph Mitchell of The New Yorker|Thomas Kunkel|Apr 28, 2015|4.7|31
Anna & Elsa #4: The Great Ice Engine (Disney Frozen) (A Stepping Stone Book(TM))|Erica David and Francesco Legramandi|May 12, 2015|4.5|6
Split Season: 1981: Fernandomania, the Bronx Zoo, and the Strike that Saved Baseball|Jeff Katz|May 19, 2015|4.8|12
Deadpool Vol. 8: All Good Things|Brian Posehn and Gerry Duggan|Jun 16, 2015|5|1
Far From the Madding Crowd|Thomas Hard|Apr 7, 2015|4.2|307
Realms: The Roleplaying Art of Tony DiTerlizzi|Tony DiTerlizzi and John Lind|Jun 16, 2015|5|3
Principles of Critical Care, 4th edition|Jesse Hall and Gregory Schmidt|Jun 2, 2015|1|2
Ming Tea Murder (Tea Shop Mysteries)|Laura Childs|May 5, 2015|4.3|56
Who Designed the Designer?: A Rediscovered Path to God's Existence|Michael Augros|May 4, 2015|5|4
The Hormone Secret: Discover Effortless Weight Loss and Renewed Energy in Just 30 Days|Dr. Tami Meraglia and Daniel Amen|Apr 14, 2015|4.8|24
A Wrinkle in Time: The Graphic Novel|Madeleine L'Engle and Hope Larson|Mar 31, 2015|4.3|104
How to Start a Fire|Lisa Lutz|May 12, 2015|3.7|59
Fodor's Pacific Northwest: with Oregon, Washington & Vancouver (Full-color Travel Guide)|Fodor's|May 12, 2015|4.2|67
The Ultimatum: A Jeremy Fisk Novel|Dick Wolf|Jun 16, 2015|4.7|3
The Notebook of Doom #7: Flurry of the Snombies (A Branches Book)|Troy Cummings|Mar 31, 2015|4.8|17
BiblioTech: Why Libraries Matter More Than Ever in the Age of Google|John Palfre|May 5, 2015|4|7
Oral and Maxillofacial Pathology, 4e|Brad W. Neville DDS and Douglas D. Damm DDS|May 27, 2015||Oral Pathology
What About This: Collected Poems of Frank Stanford|Frank Stanford and Michael Wiegers|Apr 14, 2015|5|11
Quick and Easy Paint Transformations: 50 Step-by-step Ways to Makeover Your Home for Next to Nothing|Annie Sloan and Pete Jorgensen|Apr 5, 2015|4.5|108
Unusual Chickens for the Exceptional Poultry Farmer|Kelly A. Jones and Katie Kath|May 12, 2015|4.5|33
What Was D-Day?|Patricia Brennan Demuth and David Grayson Kenyon|Apr 21, 2015|4.7|9
Ever After High:  Kiss and Spell (A School Story)|Suzanne Selfors|Apr 7, 2015|4.7|12
Harley Quinn Vol. 2: Power Outage (The New 52)|Amanda Conner and Jimmy Palmiotti|Apr 14, 2015|4.8|10
From the Notebooks of a Middle School Princess|Meg Cabot|May 19, 2015|4.7|18
Madam President: A Novel|Nicolle Wallace|Apr 28, 2015|4.3|90
The Hurricane Sisters: A Novel|Dorothea Benton Frank|Apr 7, 2015|4.1|1,037
Daniel's Day at the Beach (Daniel Tiger's Neighborhood)|Becky Friedman and Jason Fruchter|May 5, 2015|5|3
Miss Julia Lays Down the Law|Ann B. Ross|Apr 7, 2015|4.6|125
The House of Owls|Tony Angell|Apr 28, 2015|4.9|9
Emma: A Modern Retelling|Alexander McCall Smith|Apr 7, 2015|3.5|133
Simple Applique: Approachable Techniques, Easy Methods, Beautiful Results!|Kim Diehl|Apr 14, 2015|4.8|18
The Line of Departure: A Postapocalyptic Novel (The New World Series)|G. Michael Hopf|Jun 2, 2015|4.7|45
NCLEX-PN Premier 2015-2016 with 2 Practice Tests|Kaplan|Apr 7, 2015|4.8|33
On the Burning Edge: A Fateful Fire and the Men Who Fought It|Kyle Dickman|May 12, 2015|4.3|36
Demons, Deliverance, Discernment : Separating Fact from Fiction about the Spirit World|Fr. Mike Driscoll|May 8, 2015|5|6
La revolución de 22 días: El programa a base de plantas que TRANSFORMA tu cuerpo, REAJUSTA tu hábitos y CA MBIA...|Marco Borges and Dean Ornish|Apr 28, 2015|2.5|2
Thea Stilton #21: Thea Stilton and the Lost Letters|Thea Stilton|May 26, 2015|5|3
War of the Foxes|Richard Siken|Apr 28, 2015|4.7|3
Fika: The Art of The Swedish Coffee Break, with Recipes for Pastries, Breads, and Other Treats|Anna Brones and Johanna Kindvall|Apr 7, 2015|4.9|22
The Nursing Mother's Companion - 7th Edition: The Breastfeeding Book Mothers Trust, from Pregnancy through Weaning|Kathleen Huggins|Apr 14, 2015|5|3
Shopaholic to the Stars: A Novel|Sophie Kinsella|Apr 14, 2015|3.2|608
Nabokov in America: On the Road to Lolita|Robert Roper|Jun 9, 2015||
The Lady from Zagreb (Bernie Gunther)|Philip Kerr|Apr 7, 2015|4.3|234
What Keeps You Up at Night?: How to Find Peace While Chasing Your Dreams|Pete Wilson|May 5, 2015|4.8|53
Forgiveness: A Memoir|Chiquis Rivera and Ezra E. Fitz|Apr 7, 2015|4.8|189
Seraph of the End, Vol. 5|Takaya Kagami and Yamato Yamamoto|Jun 2, 2015|4.8|4
A Fearless Heart: How the Courage to Be Compassionate Can Transform Our Lives|Thupten Jinpa|May 5, 2015|4.9|10
Avengers: Time Runs Out Volume 3|Marvel Comics|May 26, 2015|4.7|3
Latin America in Construction: Architecture 1955-1980|Barry Bergdoll and Carlos Comas|May 26, 2015||Architectural Criticism
McGraw-Hill Education Preparation for the GED Test 2nd Edition|McGraw-Hill Education Editors|Jun 19, 2015|4.7|83
In Montmartre: Picasso, Matisse and the Birth of Modernist Art|Sue Roe|Apr 21, 2015|4.3|31
Never Never: Part Two (Volume 2)|Colleen Hoover and Tarryn Fisher|May 17, 2015|4.5|540
JoJo's Bizarre Adventure: Part 1--Phantom Blood, Vol. 2|Hirohiko Araki|May 5, 2015|5|7
The Skeletons Strike Back: An Unofficial Gamer's Adventure, Book Five|Winter Morgan|Apr 7, 2015|5|6
If These Walls Could Talk: St. Louis Cardinals: Stories from the St. Louis Cardinals Dugout, Locker Room, and...|Stan McNeal|May 1, 2015|2|1
Breath of Scandal|Sandra Brown|Mar 31, 2015|4.4|1,502
The Career Playbook: Essential Advice for Today's Aspiring Young Professional|James M. Citrin|Apr 21, 2015|4.8|23
The Sunlit Night|Rebecca Dinerstein|Jun 2, 2015|4|25
Beauty's Kingdom|A. N. Roquelaure and Anne Rice|Apr 21, 2015|3.9|113
Straits of Hell: Destroyermen|Taylor Anderson|May 5, 2015|4.5|103
Pip Bartlett's Guide to Magical Creatures|Maggie Stiefvater and Jackson Pearce|Apr 28, 2015|4.4|77
Front Roe: How to Be the Leading Lady in Your Own Life|Louise Roe|Apr 7, 2015|4.7|18
The Worrier's Guide to Life|Gemma Correll|May 26, 2015|4.1|15
Fables: Deluxe Edition Book Ten|Bill Willingham and Mark Buckingham|May 19, 2015|4|3
Becoming Nursey: From Code Blues to Code Browns, How to Care for Your Patients and Yourself|Kati L. Kleber|Apr 14, 2015|4.8|80
The 26-Story Treehouse (The Treehouse Books)|Andy Griffiths and Terry Denton|Apr 7, 2015|4.9|27
Awaken the Spirit Within: 10 Steps to Ignite Your Life and Fulfill Your Divine Purpose|Rebecca Rosen and Samantha Rose|Mar 31, 2015|4.5|125
